anonim_nev,kitoltes_szama,korcsoport,neme,jogositvany_kora,experiment_start_time,block_name,question_text,expected_rule_field,user_answer,correct_answer,is_correct,reaction_time_ms,timestamp
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"Az ""A"" és ""B"" jelű járművek után.","Az ""A"" és ""B"" jelű járművek után.",True,917,2026-03-06T08:57:53.885Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.","A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.",True,135,2026-03-06T08:57:54.021Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,"Az ""A"" jelű jármű.","A ""B"" jelű jármű.",False,128,2026-03-06T08:57:54.149Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Melyik kerékpáros részére kell elsőbbséget adni a személygépkocsival?,correct_answer,Mindkettő részére,Csak a jobbról érkező részére.,False,488,2026-03-06T08:57:54.638Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Igen.,Nincs.,False,129,2026-03-06T08:57:54.768Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Melyik jármű haladhat tovább elsőként?,correct_answer,"A ""B"" jelű jármű.","Az ""A"" jelű jármű.",False,138,2026-03-06T08:57:54.907Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Mikor haladhat a kormánykerékkel abrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"Az ""C"" jelű jármű után, a ""A"" és ""B"" jelű járművek előtt.","Az ""C"" jelű jármű után, a ""A"" és ""B"" jelű járművek előtt.",True,152,2026-03-06T08:57:55.060Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Nincs.,Igen.,False,118,2026-03-06T08:57:55.179Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,correct_answer,Nincs.,Igen.,False,131,2026-03-06T08:57:55.312Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Alapállapot (Baseline),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,correct_answer,"A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.","Az ""A"" jelű jármű után, a ""B"" jelű jármű előtt.",False,221,2026-03-06T08:57:55.533Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"A ""B"" jelű jármű.","Az ""A"" jelű jármű.",False,558,2026-03-06T08:57:57.026Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"Az ""A"" jelű jármű.","Az ""A"" jelű jármű.",True,151,2026-03-06T08:57:57.177Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Nincs.,Igen.,False,149,2026-03-06T08:57:57.327Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Melyik jármű haladhat tovább elsőként?,rule_shift_answer,"A ""B"" jelű jármű.",Az Ön kormánykerékkel ábrázolt járműve.,False,135,2026-03-06T08:57:57.463Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Gyakorló blokk,Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Nincs.,Igen.,False,130,2026-03-06T08:57:57.594Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Mikor haladhat át kormánykerékkel ábrázolt gépkocsijával az ábrán látható útkereszteződésben?,rule_shift_answer,"Az ""A"" és ""B"" jelű járművek után.","A ""B"" jelű jármű után, az ""A"" jelű jármű előtt.",False,801,2026-03-06T08:57:59.247Z
4,1,26-35 év,,4,2026-03-06T08:57:52.012Z,Éles teszt (Magas tét),Ön a kormánykerékkel ábrázolt gépkocsit vezeti. Van-e elsőbbségadási kötelezettsége?,rule_shift_answer,Igen.,Igen.,True,502,2026-03-06T08:57:59.750Z
